user_id,nome,sobrenome,email,cpf,data_nascimento,genero,estado,estado_civil,ocupacao,nivel_educacional,faixa_renda,data_ativacao,dispositivo,telefone
U00387,Evelyn,Vargas,bella96@example.org,15877677648.0,1980-07-03,Outro,BA,Viúvo/a,Empregado,Pós-graduação,Baixa,2022-06-27,iOS,(071) 1171 7647
U01365,Luara,da Cruz,nicolefreitas@example.org,33479908238.0,1973-10-09,Outro,PE,Viúvo/a,Empregado,Superior,Média,2022-06-27,iOS,(061) 7405 4952
U03892,Pietro,Pinto,caldeiraantony@example.org,63360500160.0,1983-12-24,Outro,SP,Divorciado/a,Aposentado,Ensino Médio,Baixa,2022-06-27,Android,11 9528-9767
U04316,Renan,Cardoso,heitor28@example.org,60149612137.0,1970-01-01,F,PE,Casado/a,Autônomo,Ensino Médio,Alta,2022-06-27,iOS,+55 (021) 7975-8379
U00169,Cecília,Santos,correiaana-cecilia@example.com,84547474894.0,1981-04-14,M,CE,Divorciado/a,Aposentado,Ensino Médio,Média,2022-06-28,iOS,+55 84 2320 8141
U00781,Beatriz,Farias,olivernunes@example.org,76000468455.0,1970-01-01,M,MG,Casado/a,Desempregado,Pós-graduação,Alta,2022-06-28,iOS,+55 (011) 2642-0084
U01305,Emanuella,Novais,correiajose-miguel@example.org,25439386804.0,1970-01-01,Outro,RS,Solteiro/a,Desempregado,Técnico,Média,2022-06-28,Android,(011) 1578-8526
U01923,Clara,Sampaio,davi-lucas86@example.com,47870287194.0,1970-01-01,Outro,RJ,Viúvo/a,Estudante,Pós-graduação,Baixa,2022-06-28,iOS,+55 (071) 3312-3533
U02334,Ian,Melo,fariaseduardo@example.com,28621798642.0,1975-09-22,F,MG,Viúvo/a,Aposentado,Ensino Médio,Alta,2022-06-28,iOS,+55 61 4550 8838
U03205,Francisco,Peixoto,das-nevesana-livia@example.org,80923152486.0,1976-12-20,F,PR,Solteiro/a,Estudante,Outro,Baixa,2022-06-28,iOS,(021) 0901 6931
U04260,Bruno,Santos,sampaiobruno@example.com,11305689772.0,1981-04-07,M,BA,Casado/a,Autônomo,Ensino Médio,Baixa,2022-06-28,iOS,31 6318-9151
U00799,Rebeca,Teixeira,joaquimda-paz@example.org,66671666340.0,1984-11-07,Outro,PE,Casado/a,Autônomo,Ensino Médio,Média,2022-06-29,Android,51 2092 3520
U01565,Emanuel,Carvalho,ocirino@example.net,93772335761.0,1970-01-01,M,PE,Casado/a,Empregado,Outro,Alta,2022-06-29,Android,51 0773 4513
U01873,João Felipe,Nunes,ninaaparecida@example.com,81590525729.0,1970-01-01,Outro,SP,Divorciado/a,Desempregado,Ensino Médio,Baixa,2022-06-29,iOS,+55 (011) 5665 2269
U01907,Lucas,Monteiro,tcasa-grande@example.org,54139278639.0,1996-03-11,M,SP,Divorciado/a,Empregado,Pós-graduação,Média,2022-06-29,Android,(041) 9133 7747
U04532,Melissa,Andrade,liviamendes@example.com,59535975881.0,1970-01-01,F,PR,Divorciado/a,Aposentado,Superior,Média,2022-06-29,iOS,(041) 8319-4054
U04591,Ester,Costa,cardosotheo@example.com,60037352143.0,1979-05-09,F,CE,Divorciado/a,Estudante,Pós-graduação,Baixa,2022-06-29,iOS,+55 51 9716 5370
U04939,Giovanna,Marques,csouza@example.net,41635091098.0,1987-04-19,Outro,CE,Divorciado/a,Estudante,Outro,Média,2022-06-29,Android,+55 (084) 2644-2500
U01759,Maria Clara,Fonseca,diogoribeiro@example.org,48487542768.0,2007-03-06,Outro,MG,Viúvo/a,Empregado,Ensino Médio,Alta,2022-06-30,Android,+55 (041) 5845 0528
U02077,Igor,Moura,emanuelly29@example.org,24183918154.0,1993-01-07,F,MG,Divorciado/a,Aposentado,Técnico,Baixa,2022-06-30,Android,84 3465-8052
U02220,Felipe,Jesus,eleao@example.org,73053718499.0,1970-01-01,M,RS,Solteiro/a,Desempregado,Técnico,Alta,2022-06-30,Android,+55 84 0544 5410
U02758,Gustavo Henrique,Almeida,machadomathias@example.net,68282866383.0,1982-06-19,Outro,RJ,Casado/a,Desempregado,Outro,Média,2022-06-30,Android,(031) 7579 1823
U02991,Rodrigo,Ribeiro,pfonseca@example.org,66616535519.0,1970-01-01,F,PR,Solteiro/a,Estudante,Outro,Alta,2022-06-30,Android,+55 (061) 4673 2211
U03286,Julia,Carvalho,uteixeira@example.net,40860976831.0,1970-01-01,F,PR,Casado/a,Estudante,Pós-graduação,Alta,2022-06-30,Android,84 7913-4723
